Item,Subject_Gender,Object_Gender,Word,WordNo,RT
14,match,mis,rug.,19.0,775.6666666666666
14,mis,match,De,1.0,436.8
14,mis,match,verhuizer,2.0,656.4
14,mis,match,sjouwde,3.0,695.6
14,mis,match,voor,4.0,363.6
14,mis,match,een,5.0,404.8
14,mis,match,zangeres,6.0,542.0
14,mis,match,zware,7.0,479.4
14,mis,match,apparatuur,8.0,534.8
14,mis,match,die,9.0,427.8
14,mis,match,namiddag.,10.0,600.6
14,mis,match,Al,11.0,505.4
14,mis,match,heel,12.0,462.2
14,mis,match,lang,13.0,397.8
14,mis,match,had,14.0,364.6
14,mis,match,zij,15.0,384.6
14,mis,match,een,16.0,415.4
14,mis,match,erg,17.0,513.8
14,mis,match,zwakke,18.0,453.6
14,mis,match,rug.,19.0,806.4
14,mis,mis,De,1.0,421.6
14,mis,mis,verhuizer,2.0,463.4
14,mis,mis,sjouwde,3.0,400.2
14,mis,mis,voor,4.0,359.6
14,mis,mis,een,5.0,360.0
14,mis,mis,zanger,6.0,487.0
14,mis,mis,zware,7.0,412.0
14,mis,mis,apparatuur,8.0,464.2
14,mis,mis,die,9.0,416.8
14,mis,mis,namiddag.,10.0,573.8
14,mis,mis,Al,11.0,488.6
14,mis,mis,heel,12.0,426.4
14,mis,mis,lang,13.0,411.8
14,mis,mis,had,14.0,350.8
14,mis,mis,zij,15.0,424.0
14,mis,mis,een,16.0,570.0
14,mis,mis,erg,17.0,484.4
14,mis,mis,zwakke,18.0,474.0
14,mis,mis,rug.,19.0,965.2
15,match,match,De,1.0,750.3333333333334
15,match,match,psychiater,2.0,674.0
15,match,match,had,3.0,390.0
15,match,match,zelf,4.0,346.0
15,match,match,met,5.0,335.0
15,match,match,maar,6.0,318.6666666666667
15,match,match,één,7.0,634.0
15,match,match,��n,7.0,984.0
15,match,match,broer,8.0,794.3333333333334
15,match,match,een,9.0,384.3333333333333
15,match,match,goede,10.0,391.3333333333333
15,match,match,band,11.0,358.0
15,match,match,nog,12.0,542.6666666666666
15,match,match,nu.,13.0,1158.0
15,match,match,Al,14.0,712.6666666666666
15,match,match,jaren,15.0,360.6666666666667
15,match,match,moest,16.0,412.6666666666667
15,match,match,hij,17.0,300.0
15,match,match,telkens,18.0,329.0
15,match,match,opnieuw,19.0,389.0
15,match,match,weer,20.0,355.3333333333333
15,match,match,contact,21.0,398.6666666666667
15,match,match,zoeken.,22.0,597.0
15,match,mis,De,1.0,536.8
15,match,mis,psychiater,2.0,720.4
15,match,mis,had,3.0,416.6
15,match,mis,zelf,4.0,447.2
15,match,mis,met,5.0,423.4
15,match,mis,maar,6.0,409.0
15,match,mis,één,7.0,324.0
15,match,mis,��n,7.0,448.0
15,match,mis,zus,8.0,492.6
15,match,mis,een,9.0,326.0
15,match,mis,goede,10.0,387.8
15,match,mis,band,11.0,345.2
15,match,mis,nog,12.0,416.6
15,match,mis,nu.,13.0,417.6
15,match,mis,Al,14.0,388.0
15,match,mis,jaren,15.0,329.6
15,match,mis,moest,16.0,333.6
15,match,mis,hij,17.0,300.4
15,match,mis,telkens,18.0,317.6
15,match,mis,opnieuw,19.0,387.0
15,match,mis,weer,20.0,396.4
15,match,mis,contact,21.0,326.6
15,match,mis,zoeken.,22.0,517.0
15,mis,match,De,1.0,435.0
15,mis,match,psychiater,2.0,570.0
15,mis,match,had,3.0,553.5
15,mis,match,zelf,4.0,440.75
15,mis,match,met,5.0,477.75
15,mis,match,maar,6.0,357.5
15,mis,match,één,7.0,277.5
15,mis,match,��n,7.0,423.0
15,mis,match,zus,8.0,564.75
15,mis,match,een,9.0,360.0
15,mis,match,goede,10.0,464.0
15,mis,match,band,11.0,396.75
15,mis,match,nog,12.0,431.5
15,mis,match,nu.,13.0,534.25
15,mis,match,Al,14.0,508.5
15,mis,match,jaren,15.0,355.25
15,mis,match,moest,16.0,324.5
15,mis,match,zij,17.0,353.5
15,mis,match,telkens,18.0,406.0
15,mis,match,opnieuw,19.0,371.0
15,mis,match,weer,20.0,385.0
15,mis,match,contact,21.0,389.5
15,mis,match,zoeken.,22.0,630.3333333333334
15,mis,mis,De,1.0,310.5
15,mis,mis,psychiater,2.0,418.5
15,mis,mis,had,3.0,319.0
15,mis,mis,zelf,4.0,389.0
15,mis,mis,met,5.0,334.5
15,mis,mis,maar,6.0,317.0
15,mis,mis,��n,7.0,722.0
15,mis,mis,broer,8.0,513.5
15,mis,mis,een,9.0,406.5
15,mis,mis,goede,10.0,478.5
15,mis,mis,band,11.0,355.0
15,mis,mis,nog,12.0,382.0
15,mis,mis,nu.,13.0,550.5
15,mis,mis,Al,14.0,688.5
15,mis,mis,jaren,15.0,356.0
15,mis,mis,moest,16.0,360.5
15,mis,mis,zij,17.0,352.0
15,mis,mis,telkens,18.0,382.0
15,mis,mis,opnieuw,19.0,473.0
15,mis,mis,weer,20.0,343.5
15,mis,mis,contact,21.0,366.0
15,mis,mis,zoeken.,22.0,437.5
16,match,match,De,1.0,454.0
16,match,match,kapitein,2.0,342.3333333333333
16,match,match,zag,3.0,380.3333333333333
16,match,match,een,4.0,353.0
16,match,match,zeiler,5.0,316.0
16,match,match,op,6.0,372.3333333333333
16,match,match,het,7.0,315.3333333333333
16,match,match,water,8.0,316.6666666666667
16,match,match,tijdens,9.0,394.0
16,match,match,die,10.0,336.0
16,match,match,tocht.,11.0,565.0
16,match,match,Die,12.0,430.0
16,match,match,hele,13.0,704.0
16,match,match,dag,14.0,354.6666666666667
16,match,match,had,15.0,312.0
16,match,match,hij,16.0,312.6666666666667
16,match,match,veel,17.0,324.6666666666667
16,match,match,last,18.0,314.0
16,match,match,van,19.0,343.0
16,match,match,zeeziekte.,20.0,486.0
16,match,mis,De,1.0,365.5
16,match,mis,kapitein,2.0,584.5
16,match,mis,zag,3.0,367.0
16,match,mis,een,4.0,429.0
16,match,mis,zeilster,5.0,397.5
16,match,mis,op,6.0,361.0
16,match,mis,het,7.0,367.5
