ItemNo,as.numeric(as.character(WordNo)),Word,RT
295,4.0,bij,419.25925925925924
295,5.0,de,330.0
295,6.0,de,365.44444444444446
295,7.0,verkoopster,646.5925925925926
295,8.0,wat,396.5925925925926
295,9.0,nieuwe,398.77777777777777
295,10.0,wol,456.77777777777777
295,11.0,kopen.,505.77777777777777
295,12.0,Diezelfde,484.44444444444446
295,13.0,ochtend,360.74074074074076
295,14.0,had,350.22222222222223
295,15.0,de,320.6666666666667
295,16.0,verkoopster,383.1111111111111
295,17.0,nog,334.48148148148147
295,18.0,wat,387.7037037037037
295,19.0,nieuwe,366.962962962963
295,20.0,kleuren,378.8888888888889
295,21.0,besteld.,479.2692307692308
296,1.0,Wel,421.14814814814815
296,2.0,twintig,443.44444444444446
296,3.0,wandelaars,442.9259259259259
296,4.0,vroegen,460.1111111111111
296,5.0,de,408.74074074074076
296,6.0,weg,381.4074074074074
296,7.0,aan,340.037037037037
296,8.0,de,335.48148148148147
296,9.0,buschauffeur.,710.7037037037037
296,10.0,Meteen,416.6296296296296
296,11.0,daarna,384.0
296,12.0,bood,367.18518518518516
296,13.0,de,349.22222222222223
296,14.0,buschauffeur,370.8888888888889
296,15.0,aan,365.25925925925924
296,16.0,om,338.81481481481484
296,17.0,ze,309.6666666666667
296,18.0,een,327.14814814814815
296,19.0,lift,404.6666666666667
296,20.0,te,404.22222222222223
296,21.0,geven.,414.3076923076923
